date;day;description;transferred
2016-08-15;Monday;Independence Day;Gazetted Holiday
2016-08-17;Wednesday;Parsi New Year;Restricted Holiday
2016-08-18;Thursday;Raksha Bandhan (Rakhi);Restricted Holiday
2016-08-25;Thursday;Janmashtami;Gazetted Holiday
2016-09-05;Monday;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
2016-09-13;Tuesday;Bakr Id/Eid ul-Adha;Gazetted Holiday
2016-09-14;Wednesday;Onam;Restricted Holiday
2016-09-22;Thursday;September Equinox;Season
2016-10-02;Sunday;Mahatma Gandhi Jayanti;Gazetted Holiday
2016-10-09;Sunday;Maha Ashtami;Restricted Holiday
2016-10-11;Tuesday;Dussehra;Gazetted Holiday
2016-10-12;Wednesday;Muharram/Ashura;Gazetted Holiday
2016-10-14;Friday;National Day of Mourning King Bhumibol Adulyadej;National holiday
2016-10-16;Sunday;Maharishi Valmiki Jayanti;Restricted Holiday
2016-10-19;Wednesday;Karaka Chaturthi (Karva Chauth);Restricted Holiday
2016-10-29;Saturday;Naraka Chaturdasi;Restricted Holiday
2016-10-30;Sunday;Diwali/Deepavali;Gazetted Holiday
2016-10-31;Monday;Halloween;Observance
2016-10-31;Monday;Govardhan Puja;Restricted Holiday
2016-11-01;Tuesday;Bhai Duj;Restricted Holiday
2016-11-06;Sunday;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
2016-11-14;Monday;Guru Nanak Jayanti;Gazetted Holiday
2016-11-24;Thursday;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
2016-12-13;Tuesday;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
2016-12-21;Wednesday;December Solstice;Season
2016-12-24;Saturday;Christmas Eve;Restricted Holiday
2016-12-25;Sunday;First Day of Hanukkah;Observance
2016-12-25;Sunday;Christmas;Gazetted Holiday
2016-12-31;Saturday;New Year's Eve;Observance
2016-01-01;Sunday;Last day of Hanukkah;Observance
2017-01-01;Sunday;New Year's Day;Restricted Holiday
2017-01-05;Thursday;Guru Govind Singh Jayanti;Restricted Holiday
2017-01-14;Saturday;Pongal;Restricted Holiday
2017-01-14;Saturday;Makar Sankranti;Restricted Holiday
2017-01-26;Thursday;Republic Day;Gazetted Holiday
2017-01-28;Saturday;Chinese New Year;Observance
2017-02-01;Wednesday;Vasant Panchami;Restricted Holiday
2017-02-10;Friday;Guru Ravidas Jayanti;Restricted Holiday
2017-02-14;Tuesday;Valentine's Day;Observance
2017-02-19;Sunday;Shivaji Jayanti;Restricted Holiday
2017-02-21;Tuesday;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
2017-02-24;Friday;Maha Shivaratri/Shivaratri;Gazetted Holiday
2017-03-12;Sunday;Holika Dahana;Restricted Holiday
2017-03-13;Monday;Holi;Restricted Holiday
2017-03-20;Monday;March Equinox;Season
2017-03-28;Tuesday;Chaitra Sukhladi;Restricted Holiday
2017-04-04;Tuesday;Rama Navami;Gazetted Holiday
2017-04-09;Sunday;Mahavir Jayanti;Gazetted Holiday
2017-04-11;Tuesday;First day of Passover;Observance
2017-04-11;Tuesday;Hazarat Ali's Birthday;Restricted Holiday
2017-04-13;Thursday;Maundy Thursday;Observance, Christian
2017-04-14;Friday;Good Friday;Gazetted Holiday
2017-04-14;Friday;Vaisakhi;Restricted Holiday
2017-04-14;Friday;Ambedkar Jayanti;Observance
2017-04-15;Saturday;Mesadi/Vaisakhadi;Restricted Holiday
2017-04-16;Sunday;Easter Day;Restricted Holiday
2017-05-01;Monday;May Day;Observance
2017-05-09;Tuesday;Birthday of Ravindranath;Restricted Holiday
2017-05-10;Wednesday;Buddha Purnima/Vesak;Gazetted Holiday
2017-05-14;Sunday;Mother's Day;Observance
